time,producer-service-1_throughput,total_throughput,producer-service-1_latency,average_latency
2021-04-14T17:53:49.000Z,231,231,721.6883116883117,721.6883116883117
2021-04-14T17:53:50.000Z,1324,1324,137.3021148036254,137.3021148036254
2021-04-14T17:53:51.000Z,1829,1829,1.7370147621651175,1.7370147621651175
2021-04-14T17:53:52.000Z,2188,2188,1.3944241316270567,1.3944241316270567
2021-04-14T17:53:53.000Z,2423,2423,1.208832026413537,1.208832026413537
2021-04-14T17:53:54.000Z,2581,2581,1.006586594343278,1.006586594343278
2021-04-14T17:53:55.000Z,2968,2968,0.7907681940700808,0.7907681940700808
2021-04-14T17:53:56.000Z,2814,2814,0.851457000710732,0.851457000710732
2021-04-14T17:53:57.000Z,2686,2686,1.0048399106478034,1.0048399106478034
2021-04-14T17:53:58.000Z,2847,2847,0.8489638215665612,0.8489638215665612
2021-04-14T17:53:59.000Z,2846,2846,0.8583977512297962,0.8583977512297962
2021-04-14T17:54:00.000Z,2903,2903,0.8618670341026524,0.8618670341026524
2021-04-14T17:54:01.000Z,2934,2934,0.8299250170415815,0.8299250170415815
2021-04-14T17:54:02.000Z,3089,3089,0.7640012949174491,0.7640012949174491
2021-04-14T17:54:03.000Z,3077,3077,0.7666558336041599,0.7666558336041599
2021-04-14T17:54:04.000Z,3061,3061,0.7693564194707612,0.7693564194707612
2021-04-14T17:54:05.000Z,3078,3078,0.7771280051981806,0.7771280051981806
2021-04-14T17:54:06.000Z,3112,3112,0.7525706940874036,0.7525706940874036
2021-04-14T17:54:07.000Z,3054,3054,0.7694826457105436,0.7694826457105436
2021-04-14T17:54:08.000Z,3124,3124,0.7615236875800256,0.7615236875800256
2021-04-14T17:54:09.000Z,3115,3115,0.7502407704654895,0.7502407704654895
2021-04-14T17:54:10.000Z,3121,3121,0.7603332265299584,0.7603332265299584
2021-04-14T17:54:11.000Z,3047,3047,0.7833935018050542,0.7833935018050542
2021-04-14T17:54:12.000Z,3038,3038,0.7685977616853192,0.7685977616853192
2021-04-14T17:54:13.000Z,3113,3113,0.7536138772887889,0.7536138772887889
2021-04-14T17:54:14.000Z,3105,3105,0.7536231884057971,0.7536231884057971
2021-04-14T17:54:15.000Z,3111,3111,0.7627772420443587,0.7627772420443587
2021-04-14T17:54:16.000Z,3108,3108,0.7474259974259975,0.7474259974259975
