time,producer-service-1_throughput,producer-service-2_throughput,producer-service-3_throughput,producer-service-4_throughput,producer-service-5_throughput,total_throughput,producer-service-1_latency,producer-service-2_latency,producer-service-3_latency,producer-service-4_latency,producer-service-5_latency,average_latency
2021-04-20T17:10:31.000Z,20745,23552,21597,22528,21504,109926,741.9020968908171,690.7927564538044,728.0810760753808,735.7337979403409,726.280040922619,724.5579536565925
2021-04-20T17:10:32.000Z,36430,35809,34723,35840,36850,179652,1827.7748284381005,1858.148202965735,1830.6309074676726,1818.2357700892858,1838.803962008141,1834.7187341937872
2021-04-20T17:10:33.000Z,37033,36895,36864,34816,35854,181462,3023.792374368806,3019.2669738446943,2991.179877387153,3008.4414349724266,3019.4175545266917,3012.4196430199545
2021-04-20T17:10:34.000Z,34816,38912,38912,37888,37888,188416,4118.803682215073,4126.726279810855,4123.935315583882,4131.331899282095,4118.376451646959,4123.834725707773
2021-04-20T17:10:35.000Z,36864,36288,38534,34993,36254,182933,5338.655843098958,5371.670855379189,5332.0294285566,5312.410796445003,5319.351244000662,5334.823633496082
2021-04-20T17:10:36.000Z,35840,37440,39290,36687,36104,185361,6449.096930803571,6440.01968482906,6454.955230338509,6447.708725161501,6433.567887214713,6445.069691669471
2021-04-20T17:10:37.000Z,37888,37888,36864,38912,37151,188703,7578.195206925676,7606.544921875,7604.005398220486,7577.183439555921,7612.336276277893,7595.653048570995
2021-04-20T17:10:38.000Z,37888,38912,38912,37289,39678,192679,8780.393739442568,8801.787212171053,8794.256296258223,8809.723564590093,8776.969202076718,8792.626002907731
2021-04-20T17:10:39.000Z,37433,37561,38348,37463,37181,187986,10048.182860043278,10055.37544261335,10064.044748096381,10059.844940341136,10050.516823108577,10055.592962840545
2021-04-20T17:10:40.000Z,39367,40263,39476,38912,36864,194882,11324.244290903549,11341.042892978665,11357.998176107001,11344.413625616777,11355.731960720486,11344.686189265294
2021-04-20T17:10:41.000Z,40704,38884,38912,39936,35660,194096,12655.59748427673,12668.747376813086,12656.069772820723,12633.236002604166,12666.31791923724,12655.993711150388
2021-04-20T17:10:42.000Z,37120,38940,38912,39392,39092,193456,13937.618399784482,13926.07904468413,13908.840049342105,13921.389139926889,13913.822137521744,13921.549754251871
2021-04-20T17:10:43.000Z,35840,35840,35840,37408,36864,181792,15149.584933035714,15155.291629464286,15139.662276785713,15173.20621257485,15194.369439019098,15162.422898175932
2021-04-20T17:10:44.000Z,35840,39936,39636,38912,38912,193236,16552.52218191964,16529.76524939904,16545.772075890603,16534.57365337171,16535.966180098683,16539.719868135937
2021-04-20T17:10:45.000Z,37888,39936,39212,38912,38912,194860,17730.105389569257,17739.38391426282,17732.729113536672,17749.366724917763,17747.36173930921,17739.789376319146
2021-04-20T17:10:46.000Z,37556,40960,40830,34816,38201,192363,18860.511902226008,18854.578393554686,18871.211731569925,18857.984260110294,18850.883851208084,18859.0340277338
2021-04-20T17:10:47.000Z,39244,38912,41090,38828,36551,194625,20012.69238609724,20020.202328330593,20038.517011438307,20019.79700216339,20019.06754945145,20022.055255496198
2021-04-20T17:10:48.000Z,38912,38093,38912,35325,38912,190154,21300.21653988487,21316.844118341953,21311.466359991777,21318.86075017693,21311.528680098683,21311.783289698844
