time,producer-service-1_throughput,total_throughput,producer-service-1_latency,average_latency
2021-04-14T17:59:00.000Z,556,556,2.433453237410072,2.433453237410072
2021-04-14T17:59:01.000Z,883,883,2.260475651189128,2.260475651189128
2021-04-14T17:59:02.000Z,877,877,2.169897377423033,2.169897377423033
2021-04-14T17:59:03.000Z,904,904,2.0984513274336285,2.0984513274336285
2021-04-14T17:59:04.000Z,884,884,2,2
2021-04-14T17:59:05.000Z,902,902,2.0864745011086474,2.0864745011086474
2021-04-14T17:59:06.000Z,891,891,2.0920314253647585,2.0920314253647585
2021-04-14T17:59:07.000Z,894,894,2.087248322147651,2.087248322147651
2021-04-14T17:59:08.000Z,898,898,2.082405345211581,2.082405345211581
2021-04-14T17:59:09.000Z,895,895,2.075977653631285,2.075977653631285
2021-04-14T17:59:10.000Z,889,889,2.088863892013498,2.088863892013498
2021-04-14T17:59:11.000Z,894,894,2.0950782997762865,2.0950782997762865
2021-04-14T17:59:12.000Z,896,896,2.0636160714285716,2.0636160714285716
2021-04-14T17:59:13.000Z,887,887,2.0901916572717023,2.0901916572717023
2021-04-14T17:59:14.000Z,890,890,2.0629213483146067,2.0629213483146067
2021-04-14T17:59:15.000Z,889,889,2.0742407199100112,2.0742407199100112
2021-04-14T17:59:16.000Z,890,890,2.096629213483146,2.096629213483146
2021-04-14T17:59:17.000Z,892,892,2.087443946188341,2.087443946188341
2021-04-14T17:59:18.000Z,893,893,2.091825307950728,2.091825307950728
2021-04-14T17:59:19.000Z,888,888,2.0912162162162162,2.0912162162162162
2021-04-14T17:59:20.000Z,893,893,2.0851063829787235,2.0851063829787235
2021-04-14T17:59:21.000Z,889,889,2.062992125984252,2.062992125984252
2021-04-14T17:59:22.000Z,890,890,2.056179775280899,2.056179775280899
2021-04-14T17:59:23.000Z,890,890,2.0685393258426967,2.0685393258426967
2021-04-14T17:59:24.000Z,894,894,2.0939597315436242,2.0939597315436242
2021-04-14T17:59:25.000Z,890,890,2.096629213483146,2.096629213483146
2021-04-14T17:59:26.000Z,895,895,2.077094972067039,2.077094972067039
2021-04-14T17:59:27.000Z,892,892,2.0661434977578477,2.0661434977578477
2021-04-14T17:59:28.000Z,891,891,2.079685746352413,2.079685746352413
2021-04-14T17:59:29.000Z,899,899,2.0878754171301446,2.0878754171301446
2021-04-14T17:59:30.000Z,900,900,2.082222222222222,2.082222222222222
2021-04-14T17:59:31.000Z,899,899,2.056729699666296,2.056729699666296
2021-04-14T17:59:32.000Z,893,893,2.0548712206047033,2.0548712206047033
2021-04-14T17:59:33.000Z,896,896,2.0379464285714284,2.0379464285714284
2021-04-14T17:59:34.000Z,888,888,2.079954954954955,2.079954954954955
2021-04-14T17:59:35.000Z,892,892,2.077354260089686,2.077354260089686
2021-04-14T17:59:36.000Z,894,894,2.0805369127516777,2.0805369127516777
2021-04-14T17:59:37.000Z,891,891,2.0662177328843994,2.0662177328843994
2021-04-14T17:59:38.000Z,888,888,2.097972972972973,2.097972972972973
2021-04-14T17:59:39.000Z,896,896,2.0714285714285716,2.0714285714285716
2021-04-14T17:59:40.000Z,893,893,2.06494960806271,2.06494960806271
2021-04-14T17:59:41.000Z,892,892,2.0739910313901344,2.0739910313901344
2021-04-14T17:59:42.000Z,894,894,2.0961968680089487,2.0961968680089487
2021-04-14T17:59:43.000Z,895,895,2.081564245810056,2.081564245810056
2021-04-14T17:59:44.000Z,895,895,2.0849162011173186,2.0849162011173186
2021-04-14T17:59:45.000Z,887,887,2.076662908680947,2.076662908680947
2021-04-14T17:59:46.000Z,894,894,2.0794183445190155,2.0794183445190155
2021-04-14T17:59:47.000Z,893,893,2.040313549832027,2.040313549832027
2021-04-14T17:59:48.000Z,897,897,2.0557413600891863,2.0557413600891863
2021-04-14T17:59:49.000Z,891,891,2.079685746352413,2.079685746352413
2021-04-14T17:59:50.000Z,897,897,2.049052396878484,2.049052396878484
2021-04-14T17:59:51.000Z,898,898,2.091314031180401,2.091314031180401
2021-04-14T17:59:52.000Z,885,885,2.074576271186441,2.074576271186441
2021-04-14T17:59:53.000Z,891,891,2.102132435465769,2.102132435465769
2021-04-14T17:59:54.000Z,891,891,2.0617283950617282,2.0617283950617282
2021-04-14T17:59:55.000Z,895,895,2.0748603351955306,2.0748603351955306
2021-04-14T17:59:56.000Z,889,889,2.095613048368954,2.095613048368954
2021-04-14T17:59:57.000Z,895,895,2.0804469273743016,2.0804469273743016
2021-04-14T17:59:58.000Z,895,895,2.059217877094972,2.059217877094972
2021-04-14T17:59:59.000Z,894,894,2.0548098434004474,2.0548098434004474
2021-04-14T18:00:00.000Z,898,898,2.0734966592427617,2.0734966592427617
2021-04-14T18:00:01.000Z,898,898,2.074610244988864,2.074610244988864
2021-04-14T18:00:02.000Z,899,899,2.0689655172413794,2.0689655172413794
2021-04-14T18:00:03.000Z,887,887,2.0698985343855694,2.0698985343855694
2021-04-14T18:00:04.000Z,894,894,2.087248322147651,2.087248322147651
2021-04-14T18:00:05.000Z,890,890,2.0730337078651684,2.0730337078651684
2021-04-14T18:00:06.000Z,891,891,2.057239057239057,2.057239057239057
2021-04-14T18:00:07.000Z,890,890,2.0786516853932584,2.0786516853932584
2021-04-14T18:00:08.000Z,889,889,2.076490438695163,2.076490438695163
2021-04-14T18:00:09.000Z,889,889,2.0866141732283463,2.0866141732283463
2021-04-14T18:00:10.000Z,891,891,2.085297418630752,2.085297418630752
2021-04-14T18:00:11.000Z,893,893,2.0873460246360582,2.0873460246360582
2021-04-14T18:00:12.000Z,892,892,2.0762331838565022,2.0762331838565022
2021-04-14T18:00:13.000Z,892,892,2.07847533632287,2.07847533632287
2021-04-14T18:00:14.000Z,894,894,2.0838926174496644,2.0838926174496644
2021-04-14T18:00:15.000Z,888,888,2.0867117117117115,2.0867117117117115
2021-04-14T18:00:16.000Z,893,893,2.062709966405375,2.062709966405375
2021-04-14T18:00:17.000Z,896,896,2.044642857142857,2.044642857142857
2021-04-14T18:00:18.000Z,893,893,2.0436730123180293,2.0436730123180293
2021-04-14T18:00:19.000Z,889,889,2.0596175478065244,2.0596175478065244
2021-04-14T18:00:20.000Z,890,890,2.0797752808988763,2.0797752808988763
2021-04-14T18:00:21.000Z,894,894,2.0838926174496644,2.0838926174496644
2021-04-14T18:00:22.000Z,889,889,2.092238470191226,2.092238470191226
2021-04-14T18:00:23.000Z,895,895,2.094972067039106,2.094972067039106
2021-04-14T18:00:24.000Z,899,899,2.057842046718576,2.057842046718576
2021-04-14T18:00:25.000Z,895,895,2.04804469273743,2.04804469273743
2021-04-14T18:00:26.000Z,895,895,2.0748603351955306,2.0748603351955306
2021-04-14T18:00:27.000Z,897,897,2.080267558528428,2.080267558528428
2021-04-14T18:00:28.000Z,889,889,2.088863892013498,2.088863892013498
2021-04-14T18:00:29.000Z,888,888,2.09009009009009,2.09009009009009
2021-04-14T18:00:30.000Z,895,895,2.03463687150838,2.03463687150838
2021-04-14T18:00:31.000Z,892,892,2.0818385650224216,2.0818385650224216
2021-04-14T18:00:32.000Z,896,896,2.0111607142857144,2.0111607142857144
2021-04-14T18:00:33.000Z,894,894,2.063758389261745,2.063758389261745
2021-04-14T18:00:34.000Z,895,895,2.052513966480447,2.052513966480447
2021-04-14T18:00:35.000Z,898,898,2.093541202672606,2.093541202672606
2021-04-14T18:00:36.000Z,896,896,2.0892857142857144,2.0892857142857144
2021-04-14T18:00:37.000Z,888,888,2.0686936936936937,2.0686936936936937
2021-04-14T18:00:38.000Z,901,901,2.072142064372919,2.072142064372919
2021-04-14T18:00:39.000Z,900,900,2.0644444444444443,2.0644444444444443
2021-04-14T18:00:40.000Z,891,891,2.079685746352413,2.079685746352413
2021-04-14T18:00:41.000Z,892,892,2.0908071748878925,2.0908071748878925
2021-04-14T18:00:42.000Z,896,896,2.052455357142857,2.052455357142857
2021-04-14T18:00:43.000Z,892,892,2.077354260089686,2.077354260089686
2021-04-14T18:00:44.000Z,892,892,2.0952914798206277,2.0952914798206277
2021-04-14T18:00:45.000Z,896,896,2.0558035714285716,2.0558035714285716
2021-04-14T18:00:46.000Z,889,889,2.0697412823397077,2.0697412823397077
2021-04-14T18:00:47.000Z,891,891,2.090909090909091,2.090909090909091
2021-04-14T18:00:48.000Z,894,894,2.0648769574944073,2.0648769574944073
2021-04-14T18:00:49.000Z,896,896,2.072544642857143,2.072544642857143
2021-04-14T18:00:50.000Z,892,892,2.0930493273542603,2.0930493273542603
2021-04-14T18:00:51.000Z,890,890,2.1123595505617976,2.1123595505617976
2021-04-14T18:00:52.000Z,895,895,2.0458100558659216,2.0458100558659216
2021-04-14T18:00:53.000Z,896,896,2.083705357142857,2.083705357142857
2021-04-14T18:00:54.000Z,885,885,2.089265536723164,2.089265536723164
2021-04-14T18:00:55.000Z,889,889,2.0753655793025874,2.0753655793025874
2021-04-14T18:00:56.000Z,890,890,2.0685393258426967,2.0685393258426967
2021-04-14T18:00:57.000Z,891,891,2.0931537598204266,2.0931537598204266
2021-04-14T18:00:58.000Z,890,890,2.051685393258427,2.051685393258427
2021-04-14T18:00:59.000Z,898,898,2.074610244988864,2.074610244988864
2021-04-14T18:01:00.000Z,886,886,2.0880361173814896,2.0880361173814896
2021-04-14T18:01:01.000Z,898,898,2.079064587973274,2.079064587973274
2021-04-14T18:01:02.000Z,895,895,2.089385474860335,2.089385474860335
2021-04-14T18:01:03.000Z,893,893,2.073908174692049,2.073908174692049
2021-04-14T18:01:04.000Z,889,889,2.073115860517435,2.073115860517435
2021-04-14T18:01:05.000Z,897,897,2.0746934225195095,2.0746934225195095
2021-04-14T18:01:06.000Z,889,889,2.0753655793025874,2.0753655793025874
2021-04-14T18:01:07.000Z,898,898,2.089086859688196,2.089086859688196
2021-04-14T18:01:08.000Z,889,889,2.062992125984252,2.062992125984252
2021-04-14T18:01:09.000Z,897,897,2.0434782608695654,2.0434782608695654
2021-04-14T18:01:10.000Z,890,890,2.059550561797753,2.059550561797753
2021-04-14T18:01:11.000Z,890,890,2.0629213483146067,2.0629213483146067
2021-04-14T18:01:12.000Z,889,889,2.0854893138357706,2.0854893138357706
2021-04-14T18:01:13.000Z,898,898,2.0512249443207127,2.0512249443207127
2021-04-14T18:01:14.000Z,895,895,2.0435754189944135,2.0435754189944135
2021-04-14T18:01:15.000Z,891,891,2.079685746352413,2.079685746352413
2021-04-14T18:01:16.000Z,890,890,2.053932584269663,2.053932584269663
2021-04-14T18:01:17.000Z,893,893,2.073908174692049,2.073908174692049
2021-04-14T18:01:18.000Z,891,891,2.0886644219977555,2.0886644219977555
2021-04-14T18:01:19.000Z,893,893,2.073908174692049,2.073908174692049
2021-04-14T18:01:20.000Z,895,895,2.060335195530726,2.060335195530726
2021-04-14T18:01:21.000Z,894,894,2.0604026845637584,2.0604026845637584
2021-04-14T18:01:22.000Z,898,898,2.06347438752784,2.06347438752784
2021-04-14T18:01:23.000Z,888,888,2.0867117117117115,2.0867117117117115
2021-04-14T18:01:24.000Z,892,892,2.1221973094170403,2.1221973094170403
2021-04-14T18:01:25.000Z,888,888,2.0664414414414414,2.0664414414414414
2021-04-14T18:01:26.000Z,895,895,2.078212290502793,2.078212290502793
2021-04-14T18:01:27.000Z,894,894,2.057046979865772,2.057046979865772
2021-04-14T18:01:28.000Z,892,892,2.070627802690583,2.070627802690583
2021-04-14T18:01:29.000Z,890,890,2.0719101123595505,2.0719101123595505
2021-04-14T18:01:30.000Z,898,898,2.0400890868596884,2.0400890868596884
2021-04-14T18:01:31.000Z,891,891,2.031425364758698,2.031425364758698
2021-04-14T18:01:32.000Z,892,892,2.070627802690583,2.070627802690583
2021-04-14T18:01:33.000Z,892,892,2.0650224215246635,2.0650224215246635
2021-04-14T18:01:34.000Z,886,886,2.0891647855530473,2.0891647855530473
2021-04-14T18:01:35.000Z,890,890,2.0573033707865167,2.0573033707865167
2021-04-14T18:01:36.000Z,891,891,2.0987654320987654,2.0987654320987654
2021-04-14T18:01:37.000Z,892,892,2.0762331838565022,2.0762331838565022
2021-04-14T18:01:38.000Z,892,892,2.0650224215246635,2.0650224215246635
2021-04-14T18:01:39.000Z,892,892,2.061659192825112,2.061659192825112
2021-04-14T18:01:40.000Z,890,890,2.0696629213483146,2.0696629213483146
2021-04-14T18:01:41.000Z,893,893,2.0828667413213884,2.0828667413213884
2021-04-14T18:01:42.000Z,890,890,2.103370786516854,2.103370786516854
2021-04-14T18:01:43.000Z,891,891,2.0942760942760943,2.0942760942760943
2021-04-14T18:01:44.000Z,893,893,2.0593505039193727,2.0593505039193727
2021-04-14T18:01:45.000Z,888,888,2.0878378378378377,2.0878378378378377
2021-04-14T18:01:46.000Z,893,893,2.0716685330347144,2.0716685330347144
2021-04-14T18:01:47.000Z,892,892,2.0795964125560538,2.0795964125560538
2021-04-14T18:01:48.000Z,896,896,2.0669642857142856,2.0669642857142856
2021-04-14T18:01:49.000Z,901,901,2.091009988901221,2.091009988901221
2021-04-14T18:01:50.000Z,891,891,2.0617283950617282,2.0617283950617282
2021-04-14T18:01:51.000Z,905,905,2.0541436464088396,2.0541436464088396
2021-04-14T18:01:52.000Z,883,883,2.0770101925254814,2.0770101925254814
2021-04-14T18:01:53.000Z,892,892,2.0538116591928253,2.0538116591928253
2021-04-14T18:01:54.000Z,892,892,2.085201793721973,2.085201793721973
2021-04-14T18:01:55.000Z,893,893,2.107502799552072,2.107502799552072
2021-04-14T18:01:56.000Z,891,891,2.0841750841750843,2.0841750841750843
2021-04-14T18:01:57.000Z,889,889,2.0843644544431945,2.0843644544431945
2021-04-14T18:01:58.000Z,899,899,2.053392658509455,2.053392658509455
2021-04-14T18:01:59.000Z,894,894,2.0738255033557045,2.0738255033557045
2021-04-14T18:02:00.000Z,892,892,2.0840807174887894,2.0840807174887894
2021-04-14T18:02:01.000Z,890,890,2.0898876404494384,2.0898876404494384
2021-04-14T18:02:02.000Z,895,895,2.083798882681564,2.083798882681564
2021-04-14T18:02:03.000Z,894,894,2.0659955257270695,2.0659955257270695
2021-04-14T18:02:04.000Z,891,891,2.058361391694725,2.058361391694725
2021-04-14T18:02:05.000Z,894,894,2.057046979865772,2.057046979865772
2021-04-14T18:02:06.000Z,895,895,2.088268156424581,2.088268156424581
2021-04-14T18:02:07.000Z,897,897,2.0780379041248604,2.0780379041248604
2021-04-14T18:02:08.000Z,891,891,2.049382716049383,2.049382716049383
2021-04-14T18:02:09.000Z,894,894,2.092841163310962,2.092841163310962
2021-04-14T18:02:10.000Z,890,890,2.107865168539326,2.107865168539326
2021-04-14T18:02:11.000Z,891,891,2.0931537598204266,2.0931537598204266
2021-04-14T18:02:12.000Z,893,893,2.070548712206047,2.070548712206047
2021-04-14T18:02:13.000Z,899,899,2.056729699666296,2.056729699666296
2021-04-14T18:02:14.000Z,885,885,2.082485875706215,2.082485875706215
2021-04-14T18:02:15.000Z,894,894,2.0492170022371363,2.0492170022371363
2021-04-14T18:02:16.000Z,889,889,2.073115860517435,2.073115860517435
2021-04-14T18:02:17.000Z,889,889,2.0809898762654666,2.0809898762654666
2021-04-14T18:02:18.000Z,897,897,2.0590858416945372,2.0590858416945372
2021-04-14T18:02:19.000Z,890,890,2.0853932584269663,2.0853932584269663
2021-04-14T18:02:20.000Z,888,888,2.063063063063063,2.063063063063063
2021-04-14T18:02:21.000Z,892,892,2.0728699551569507,2.0728699551569507
2021-04-14T18:02:22.000Z,883,883,2.117780294450736,2.117780294450736
2021-04-14T18:02:23.000Z,891,891,2.095398428731762,2.095398428731762
2021-04-14T18:02:24.000Z,889,889,2.0877390326209224,2.0877390326209224
2021-04-14T18:02:25.000Z,891,891,2.0841750841750843,2.0841750841750843
2021-04-14T18:02:26.000Z,893,893,2.078387458006719,2.078387458006719
2021-04-14T18:02:27.000Z,894,894,2.0559284116331096,2.0559284116331096
2021-04-14T18:02:28.000Z,893,893,2.0929451287793954,2.0929451287793954
2021-04-14T18:02:29.000Z,893,893,2.0638297872340425,2.0638297872340425
2021-04-14T18:02:30.000Z,892,892,2.06390134529148,2.06390134529148
2021-04-14T18:02:31.000Z,890,890,2.0853932584269663,2.0853932584269663
2021-04-14T18:02:32.000Z,895,895,2.0681564245810056,2.0681564245810056
2021-04-14T18:02:33.000Z,892,892,2.0560538116591927,2.0560538116591927
