time,producer-service-1_throughput,producer-service-2_throughput,producer-service-3_throughput,producer-service-4_throughput,producer-service-5_throughput,total_throughput,producer-service-1_latency,producer-service-2_latency,producer-service-3_latency,producer-service-4_latency,producer-service-5_latency,average_latency
2021-04-20T17:15:45.000Z,,19625,,,,19625,,1562.5986242038216,,,,1562.5986242038216
2021-04-20T17:15:46.000Z,,35808,31597,13405,3861,84671,,1755.9644772117963,1730.4880210146532,1481.0870570682582,1308.3501683501684,1568.972430911219
2021-04-20T17:15:47.000Z,7026,4640,2720,15104,13786,43276,1045.7566182749786,1955.2051724137932,1974.3139705882354,1838.955905720339,1425.147395908893,1647.8758125812478
2021-04-20T17:15:48.000Z,18542,7329,8618,7208,13508,55205,809.102254341495,970.6524764633647,980.1536319331632,1400.860294117647,1371.8030796565,1106.514347302434
2021-04-20T17:15:49.000Z,14301,15269,14258,13560,12378,69766,1134.7293895531782,957.9610321566573,908.7279422078833,1320.344616519174,1363.6759573436743,1137.0877875561134
2021-04-20T17:15:50.000Z,13504,13959,13003,13835,13477,67778,1115.001481042654,969.0472813238771,914.2883949857725,1305.4310083122516,1330.4253172070935,1126.8386965743298
2021-04-20T17:15:51.000Z,14492,12231,15963,13485,14302,70473,1152.7475158708253,908.2005559643529,879.8093716719915,1296.9060437523174,1277.3021954971332,1102.993136551324
2021-04-20T17:15:52.000Z,12361,13999,14347,12489,14707,67903,1216.5459105250384,1006.077791270805,974.33149787412,1343.0784690527664,1361.883660841776,1180.383465912901
2021-04-20T17:15:53.000Z,12915,13428,12056,13241,13489,65129,1129.47293844367,979.5020851951147,949.5925680159257,1291.681141907711,1280.8112536140559,1126.2119974352954
2021-04-20T17:15:54.000Z,14412,14631,14742,14567,13887,72239,1100.6880377463226,952.1926047433532,994.0360873694207,1248.4774490286263,1272.1212644919708,1113.5030886759387
2021-04-20T17:15:55.000Z,12693,12247,11080,13226,14429,63675,1139.9416213661073,911.8727035192292,1017.5537003610108,1280.1998336609709,1278.8014415413404,1125.6738600897315
2021-04-20T17:15:56.000Z,14478,15402,14041,14287,14717,72925,1082.7819450200304,967.7341254382548,997.8975856420483,1195.5178133967943,1323.5221172793367,1113.4907173552929
2021-04-20T17:15:57.000Z,15854,13194,13091,14795,14273,71207,1084.6963542323704,878.8274215552524,983.8600565273853,1234.583845893883,1353.624535836895,1107.1184428091572
