time,producer-service-1_throughput,total_throughput,producer-service-1_latency,average_latency
2021-05-05T18:50:30.000Z,34923,34923,25.45545915299373,25.45545915299373
2021-05-05T18:50:31.000Z,55189,55189,18.839098371052202,18.839098371052202
2021-05-05T18:50:32.000Z,55172,55172,23.052472268542015,23.052472268542015
2021-05-05T18:50:33.000Z,54400,54400,17.871158088235294,17.871158088235294
2021-05-05T18:50:34.000Z,56538,56538,16.959620078531252,16.959620078531252
2021-05-05T18:50:35.000Z,55078,55078,16.601111151457932,16.601111151457932
2021-05-05T18:50:36.000Z,54285,54285,16.82967670627245,16.82967670627245
2021-05-05T18:50:37.000Z,54259,54259,16.942479588639674,16.942479588639674
2021-05-05T18:50:38.000Z,53248,53248,16.69689002403846,16.69689002403846
2021-05-05T18:50:39.000Z,54272,54272,16.47162441037736,16.47162441037736
2021-05-05T18:50:40.000Z,55296,55296,16.173719618055557,16.173719618055557
2021-05-05T18:50:41.000Z,55318,55318,15.806482519252324,15.806482519252324
2021-05-05T18:50:42.000Z,57322,57322,15.663898677645582,15.663898677645582
2021-05-05T18:50:43.000Z,55296,55296,15.809751157407407,15.809751157407407
2021-05-05T18:50:44.000Z,53248,53248,16.7177734375,16.7177734375
2021-05-05T18:50:45.000Z,52224,52224,15.88296568627451,15.88296568627451
2021-05-05T18:50:46.000Z,54272,54272,15.80748820754717,15.80748820754717
2021-05-05T18:50:47.000Z,53248,53248,15.929593599759615,15.929593599759615
2021-05-05T18:50:48.000Z,55296,55296,15.548303674768519,15.548303674768519
2021-05-05T18:50:49.000Z,53248,53248,15.275503305288462,15.275503305288462
2021-05-05T18:50:50.000Z,55296,55296,15.189272280092593,15.189272280092593
2021-05-05T18:50:51.000Z,54272,54272,15.280881485849056,15.280881485849056
2021-05-05T18:50:52.000Z,54238,54238,15.444909473063166,15.444909473063166
2021-05-05T18:50:53.000Z,54306,54306,15.012355909107649,15.012355909107649
2021-05-05T18:50:54.000Z,56320,56320,14.931409801136363,14.931409801136363
2021-05-05T18:50:55.000Z,54272,54272,14.950619103773585,14.950619103773585
2021-05-05T18:50:56.000Z,55296,55296,15.17748119212963,15.17748119212963
2021-05-05T18:50:57.000Z,55296,55296,15.260579427083334,15.260579427083334
2021-05-05T18:50:58.000Z,55296,55296,15.36550564236111,15.36550564236111
2021-05-05T18:50:59.000Z,55296,55296,15.22365089699074,15.22365089699074
2021-05-05T18:51:00.000Z,55296,55296,15.011103877314815,15.011103877314815
2021-05-05T18:51:01.000Z,55296,55296,14.980378327546296,14.980378327546296
2021-05-05T18:51:02.000Z,55296,55296,15.146176938657407,15.146176938657407
2021-05-05T18:51:03.000Z,55566,55566,15.090576971529352,15.090576971529352
2021-05-05T18:51:04.000Z,47858,47858,18.203226210873837,18.203226210873837
2021-05-05T18:51:05.000Z,52224,52224,15.955595128676471,15.955595128676471
2021-05-05T18:51:06.000Z,54272,54272,15.526901533018869,15.526901533018869
2021-05-05T18:51:07.000Z,55296,55296,15.419017650462964,15.419017650462964
2021-05-05T18:51:08.000Z,53248,53248,15.736046424278847,15.736046424278847
2021-05-05T18:51:09.000Z,54272,54272,15.422741008254716,15.422741008254716
2021-05-05T18:51:10.000Z,55296,55296,15.233543113425926,15.233543113425926
2021-05-05T18:51:11.000Z,55296,55296,15.04226345486111,15.04226345486111
2021-05-05T18:51:12.000Z,56320,56320,15.256232244318182,15.256232244318182
2021-05-05T18:51:13.000Z,55296,55296,14.91749855324074,14.91749855324074
2021-05-05T18:51:14.000Z,56320,56320,14.919566761363637,14.919566761363637
2021-05-05T18:51:15.000Z,56320,56320,14.793874289772727,14.793874289772727
2021-05-05T18:51:16.000Z,56661,56661,14.629710029826512,14.629710029826512
2021-05-05T18:51:17.000Z,57003,57003,14.896321246250197,14.896321246250197
2021-05-05T18:51:18.000Z,56320,56320,14.742897727272727,14.742897727272727
2021-05-05T18:51:19.000Z,56320,56320,14.84140625,14.84140625
2021-05-05T18:51:20.000Z,55954,55954,15.02880937913286,15.02880937913286
2021-05-05T18:51:21.000Z,56642,56642,14.799812859715406,14.799812859715406
2021-05-05T18:51:22.000Z,55830,55830,14.583342289091886,14.583342289091886
2021-05-05T18:51:23.000Z,54806,54806,15.107853154764078,15.107853154764078
2021-05-05T18:51:24.000Z,56320,56320,14.786754261363637,14.786754261363637
2021-05-05T18:51:25.000Z,55296,55296,14.86302806712963,14.86302806712963
2021-05-05T18:51:26.000Z,56320,56320,14.525053267045454,14.525053267045454
2021-05-05T18:51:27.000Z,58368,58368,14.553248355263158,14.553248355263158
2021-05-05T18:51:28.000Z,54272,54272,15.218657871462264,15.218657871462264
2021-05-05T18:51:29.000Z,56320,56320,14.696271306818181,14.696271306818181
2021-05-05T18:51:30.000Z,56320,56320,14.769886363636363,14.769886363636363
2021-05-05T18:51:31.000Z,56233,56233,14.762043639855602,14.762043639855602
2021-05-05T18:51:32.000Z,55383,55383,14.787209071375694,14.787209071375694
2021-05-05T18:51:33.000Z,56320,56320,14.938600852272728,14.938600852272728
2021-05-05T18:51:34.000Z,53248,53248,15.269193209134615,15.269193209134615
2021-05-05T18:51:35.000Z,55296,55296,14.968948929398149,14.968948929398149
2021-05-05T18:51:36.000Z,55062,55062,15.166303439758817,15.166303439758817
2021-05-05T18:51:37.000Z,50410,50410,16.522039277921046,16.522039277921046
2021-05-05T18:51:38.000Z,55296,55296,14.953088831018519,14.953088831018519
2021-05-05T18:51:39.000Z,55748,55748,14.722895888641744,14.722895888641744
2021-05-05T18:51:40.000Z,55868,55868,14.67453640724565,14.67453640724565
2021-05-05T18:51:41.000Z,56320,56320,14.600106534090909,14.600106534090909
2021-05-05T18:51:42.000Z,55296,55296,14.823893229166666,14.823893229166666
2021-05-05T18:51:43.000Z,56320,56320,15.087855113636364,15.087855113636364
2021-05-05T18:51:44.000Z,56320,56320,14.389080255681819,14.389080255681819
2021-05-05T18:51:45.000Z,56320,56320,14.616157670454545,14.616157670454545
2021-05-05T18:51:46.000Z,56320,56320,14.537482244318182,14.537482244318182
2021-05-05T18:51:47.000Z,57119,57119,14.401460109595757,14.401460109595757
2021-05-05T18:51:48.000Z,56866,56866,14.586659867055886,14.586659867055886
2021-05-05T18:51:49.000Z,56376,56376,14.681087696892295,14.681087696892295
2021-05-05T18:51:50.000Z,57991,57991,14.61006018175234,14.61006018175234
2021-05-05T18:51:51.000Z,58368,58368,14.303025630482455,14.303025630482455
2021-05-05T18:51:52.000Z,57344,57344,14.127790178571429,14.127790178571429
2021-05-05T18:51:53.000Z,56320,56320,14.301580255681818,14.301580255681818
2021-05-05T18:51:54.000Z,57344,57344,14.597220284598214,14.597220284598214
2021-05-05T18:51:55.000Z,57344,57344,14.381173270089286,14.381173270089286
2021-05-05T18:51:56.000Z,58368,58368,14.420727110745615,14.420727110745615
2021-05-05T18:51:57.000Z,57344,57344,14.357700892857142,14.357700892857142
2021-05-05T18:51:58.000Z,58368,58368,14.307634320175438,14.307634320175438
2021-05-05T18:51:59.000Z,58368,58368,14.251764665570175,14.251764665570175
2021-05-05T18:52:00.000Z,57344,57344,14.342599051339286,14.342599051339286
2021-05-05T18:52:01.000Z,56320,56320,14.347869318181818,14.347869318181818
2021-05-05T18:52:02.000Z,56320,56320,14.378284801136363,14.378284801136363
2021-05-05T18:52:03.000Z,57344,57344,14.456682477678571,14.456682477678571
2021-05-05T18:52:04.000Z,57344,57344,14.317435128348214,14.317435128348214
2021-05-05T18:52:05.000Z,57344,57344,14.496372767857142,14.496372767857142
2021-05-05T18:52:06.000Z,57344,57344,14.590733119419642,14.590733119419642
2021-05-05T18:52:07.000Z,57344,57344,14.452479771205358,14.452479771205358
2021-05-05T18:52:08.000Z,55296,55296,14.892722800925926,14.892722800925926
2021-05-05T18:52:09.000Z,53248,53248,15.826810396634615,15.826810396634615
2021-05-05T18:52:10.000Z,57344,57344,14.149745396205358,14.149745396205358
2021-05-05T18:52:11.000Z,58368,58368,13.918225740131579,13.918225740131579
2021-05-05T18:52:12.000Z,58358,58358,14.127694574865485,14.127694574865485
2021-05-05T18:52:13.000Z,58378,58378,14.320771523519134,14.320771523519134
2021-05-05T18:52:14.000Z,57344,57344,14.177699497767858,14.177699497767858
2021-05-05T18:52:15.000Z,59579,59579,14.20332667550647,14.20332667550647
2021-05-05T18:52:16.000Z,59964,59964,13.970098725902208,13.970098725902208
2021-05-05T18:52:17.000Z,58633,58633,14.058038988283048,14.058038988283048
2021-05-05T18:52:18.000Z,58368,58368,14.095566063596491,14.095566063596491
2021-05-05T18:52:19.000Z,59344,59344,14.073722701536802,14.073722701536802
2021-05-05T18:52:20.000Z,58416,58416,13.97642769104355,13.97642769104355
2021-05-05T18:52:21.000Z,58368,58368,14.192228618421053,14.192228618421053
2021-05-05T18:52:22.000Z,58368,58368,14.210492050438596,14.210492050438596
2021-05-05T18:52:23.000Z,58368,58368,14.094503837719298,14.094503837719298
2021-05-05T18:52:24.000Z,59035,59035,14.329448632167358,14.329448632167358
2021-05-05T18:52:25.000Z,59172,59172,14.083400932873657,14.083400932873657
2021-05-05T18:52:26.000Z,58945,58945,14.131139197557046,14.131139197557046
2021-05-05T18:52:27.000Z,59392,59392,14.107371363146552,14.107371363146552
2021-05-05T18:52:28.000Z,59392,59392,14.096713362068966,14.096713362068966
2021-05-05T18:52:29.000Z,57344,57344,14.185355050223214,14.185355050223214
2021-05-05T18:52:30.000Z,58368,58368,14.132247121710526,14.132247121710526
2021-05-05T18:52:31.000Z,58368,58368,14.113983689692983,14.113983689692983
2021-05-05T18:52:32.000Z,59071,59071,13.989504156015641,13.989504156015641
2021-05-05T18:52:33.000Z,58689,58689,14.206495254647379,14.206495254647379
2021-05-05T18:52:34.000Z,58368,58368,14.119089226973685,14.119089226973685
2021-05-05T18:52:35.000Z,58368,58368,14.108329906798245,14.108329906798245
2021-05-05T18:52:36.000Z,58368,58368,14.081928453947368,14.081928453947368
2021-05-05T18:52:37.000Z,59392,59392,13.949117726293103,13.949117726293103
2021-05-05T18:52:38.000Z,58160,58160,14.254814305364512,14.254814305364512
2021-05-05T18:52:39.000Z,58576,58576,14.05671264681781,14.05671264681781
2021-05-05T18:52:40.000Z,54272,54272,15.380361880896226,15.380361880896226
2021-05-05T18:52:41.000Z,47104,47104,18.24458644701087,18.24458644701087
2021-05-05T18:52:42.000Z,56320,56320,14.712109375,14.712109375
2021-05-05T18:52:43.000Z,58368,58368,14.205112390350877,14.205112390350877
2021-05-05T18:52:44.000Z,57344,57344,14.242588588169642,14.242588588169642
2021-05-05T18:52:45.000Z,58368,58368,14.116399396929825,14.116399396929825
