time,producer-service-10_throughput,producer-service-11_throughput,producer-service-12_throughput,producer-service-13_throughput,producer-service-14_throughput,producer-service-15_throughput,producer-service-16_throughput,producer-service-1_throughput,producer-service-2_throughput,producer-service-3_throughput,producer-service-4_throughput,producer-service-5_throughput,producer-service-6_throughput,producer-service-7_throughput,producer-service-8_throughput,producer-service-9_throughput,total_throughput,producer-service-10_latency,producer-service-11_latency,producer-service-12_latency,producer-service-13_latency,producer-service-14_latency,producer-service-15_latency,producer-service-16_latency,producer-service-1_latency,producer-service-2_latency,producer-service-3_latency,producer-service-4_latency,producer-service-5_latency,producer-service-6_latency,producer-service-7_latency,producer-service-8_latency,producer-service-9_latency,average_latency
2021-05-05T22:13:07.000Z,,,,,,,,8192,6635,,,,,,,,14827,,,,,,,,153.8734130859375,169.24687264506406,,,,,,,,161.56014286550078
2021-05-05T22:13:08.000Z,,,,,,,,35840,32277,18432,,,,,,,86549,,,,,,,,177.92533482142858,178.81271493633238,212.95323350694446,,,,,,,189.89709442156845
2021-05-05T22:13:09.000Z,,,,,,,,22528,22528,21504,16384,,,,,,82944,,,,,,,,511.36274857954544,491.9342595880682,498.9736328125,544.7011108398438,,,,,,511.7429379549893
2021-05-05T22:13:10.000Z,,,,,,,,39571,40832,41216,34816,20608,128,,,,177171,,,,,,,,628.5979378838038,655.5851782915361,636.9162703804348,644.8992417279412,563.2354910714286,172.9921875,,,,550.371051142524
2021-05-05T22:13:11.000Z,,,,,,,,18157,20608,22056,19200,20352,15872,768,,,117013,,,,,,,,154.25136311064603,130.361461568323,134.27303228146536,138.84380208333334,139.09974449685535,114.06407510080645,201.71223958333334,,,144.6579597463947
2021-05-05T22:13:12.000Z,,,,,,,,13326,19456,19416,12544,17363,14336,10496,2048,,108985,,,,,,,,108.20606333483416,90.51027960526316,92.98377626699629,109.62173150510205,98.54212981627599,96.70563616071429,125.86270960365853,172.26220703125,,111.83681666551182
2021-05-05T22:13:13.000Z,,,,,,,,12018,16128,15232,9472,16941,13440,10368,13696,2532,109827,,,,,,,,125.12106839740389,111.82223462301587,116.16222426470588,136.2717483108108,99.64122542943156,122.5796130952381,137.74681712962962,114.91158002336448,239.35347551342812,133.73444297633648
2021-05-05T22:13:14.000Z,1664,,,,,,,11776,14336,19072,11392,15842,17024,11776,14208,14563,131653,200.70372596153845,,,,,,,157.7352241847826,142.48395647321428,127.09270134228188,146.47147120786516,133.85639439464714,126.50857612781955,151.66771399456522,143.57376126126127,137.55792075808557,146.76514457060614
2021-05-05T22:13:15.000Z,10624,4096,,,,,,12544,14592,15744,9856,13982,15872,11520,14720,13041,136591,183.99482304216866,185.73974609375,,,,,,177.1759406887755,162.3602658991228,166.67606707317074,175.0064935064935,163.76312401659277,155.79076360887098,179.13220486111112,164.04008152173913,164.79058354420673,170.77000853236382
2021-05-05T22:13:16.000Z,12544,13696,2055,,,,,11776,13696,14976,12672,13440,11008,12800,13824,13456,145943,160.28667091836735,160.5738171728972,337.8875912408759,,,,,163.36447010869566,154.5650554906542,159.5027377136752,159.90553977272728,158.18125,169.85038154069767,167.0953125,154.21694155092592,161.21247027348394,175.55351985691672
2021-05-05T22:13:17.000Z,7552,11136,9188,,,,,11520,9600,12032,8448,9856,10496,11008,11564,12728,125128,174.205905720339,172.07228807471265,183.81856769699607,,,,,162.08125,181.04927083333334,173.77659574468086,170.74301609848484,174.5838068181818,172.6903582317073,171.4555777616279,166.30361466620548,157.53425518541798,171.69287556930726
2021-05-05T22:13:18.000Z,8704,12544,8085.000000000001,5760,,,,9856,13184,8320,8320,11656,8192,8448,11272,9088,123429,252.0168887867647,221.85100446428572,236.50711193568335,325.38368055555554,,,,250.88331980519482,220.555901092233,251.72439903846154,245.86286057692308,208.6588023335621,235.9501953125,251.36079545454547,222.69100425833923,224.96555897887325,242.18550173791704
2021-05-05T22:13:19.000Z,9132,9661,7040,7296,6016,,,7928,9451,8925,7817,8568,6016,8832,8780,8960,114422,281.2047744196233,271.13249146051135,307.72144886363634,311.23533442982455,338.6447805851064,,,303.31912209889003,286.80372447360065,280.57837535014005,294.3813483433542,288.2742763772176,322.2887300531915,284.643455615942,283.3493166287016,275.8349330357143,294.95800798110383
2021-05-05T22:13:20.000Z,8660,14531,9984,8576,10496,3456,,6664,13333,9507,7799,11904,8448,9984,12416,9984,145742,256.9784064665127,212.10205766980937,240.77784455128204,258.87639925373134,234.00571646341464,301.734375,,272.9954981992797,213.3609840246006,245.56989586620384,268.9542249006283,210.70018481182797,242.64476799242425,251.8652844551282,211.73421391752578,251.19140625,244.89941732149128
2021-05-05T22:13:21.000Z,8192,10624,8273,10792,9984,7296,512,8960,10880,11126,8192,11008,8832,9344,11776,10624,146415,313.377685546875,307.2590361445783,305.3257584914783,307.96905114899926,305.59164663461536,339.6558388157895,486.384765625,326.28203125,326.51286764705884,309.72631673557436,316.4132080078125,301.87627180232556,316.3396739130435,327.697238869863,308.15888247282606,308.99924698795184,325.4730950058619
2021-05-05T22:13:22.000Z,8192,11904,7599,10328,7424,7296,7808,9760,11008,7818,9984,8960,8576,8064,7936,7250,139907,382.2353515625,348.9053259408602,380.61560731675223,364.7518396591789,386.7570043103448,398.77275219298247,406.36296106557376,369.30676229508197,358.79242369186045,401.44781273983114,361.45703125,378.9189732142857,378.5363805970149,374.65749007936506,397.273689516129,396.53075862068965,380.33263525327817
2021-05-05T22:13:23.000Z,9216,13952,9344,10664,11904,8960,9604,11872,14720,10240,8576,13022,8448,10624,12416,9134,172696,494.17957899305554,480.3882597477064,484.8588398972603,484.1957051762941,488.2265625,485.41729910714287,480.3457934194086,481.09560309973045,476.5270380434783,485.4126953125,479.0761427238806,475.65389341115036,494.4679214015151,480.2027484939759,479.31241945876286,484.52638493540616,483.36793035757916
2021-05-05T22:13:24.000Z,9344,9728,10752,10072,11520,10752,9911,8704,10523,11264,8064,13218,11392,7962,12928,9856,165990,476.447345890411,474.26870888157896,455.2819010416667,475.5189634630659,449.31762152777776,455.99497767857144,447.27827666229445,468.73713235294116,473.1010168202984,471.43599076704544,493.86520337301585,441.40724769254047,466.94548806179773,483.707987942728,453.99404393564356,460.6893262987013,465.4994520243799
2021-05-05T22:13:25.000Z,9344,10496,10240,9839,11648,10112,9029,9120,10085,10306,8064,11776,9344,8752,11904,10752,160811,501.0438784246575,469.5952743902439,495.4109375,482.4444557373717,465.62293956043953,507.53055775316454,516.7228929006535,493.0679824561403,472.9800694100149,501.76945468659034,480.09933035714283,491.04110054347825,490.49892979452056,508.27113802559415,491.1633064516129,491.0377604166667,491.1437505255182
2021-05-05T22:13:26.000Z,7296,12288,8576,8465,13952,9344,7680,8160,10496,9022,7936,10112,8320,8118,11739,9088,150592,603.5052083333334,471.1852213541667,539.9478777985074,581.0829297105729,439.98315653669727,515.6763698630137,571.041015625,565.1537990196078,488.5821265243902,507.5310352471736,547.0025201612904,497.2946993670886,545.8875,546.2457501847746,475.0483005366726,512.5243177816901,525.4807392527487
2021-05-05T22:13:27.000Z,9472,12032,9216,9726,12672,10880,9083,9344,10880,10624,9728,10240,10112,8815,12069,11264,166157,555.5608108108108,702.2110206117021,609.6355251736111,637.2523133867983,761.4424715909091,596.4446691176471,601.9922932951667,621.0459118150685,671.9181985294117,635.5445218373494,601.67578125,676.4078125,592.9770569620254,625.4596710153148,684.4864528958489,593.9139737215909,635.4980302820784
2021-05-05T22:13:28.000Z,7926,9600,10496,8834,9344,10624,8453,8704,9216,11323,7808,9600,11520,8721,10752,12416,155337,723.0346959374211,627.7146875,543.4884717987804,593.2082861670817,609.5832619863014,588.4743975903615,702.4737962853425,669.1616498161765,595.1066623263889,511.81568488916366,718.4810450819672,572.0346875,548.8993923611112,630.2843710583649,591.0873325892857,536.0227931701031,610.0544510036157
2021-05-05T22:13:29.000Z,9226,9994,13184,9728,9107,11033,8576,12046,9472,14533,10734,10368,12288,9984,10241,14336,174850,756.8571428571429,741.7580548328997,739.188030946602,836.9134457236842,757.6608103656528,800.0225686576633,831.0006996268656,641.595550390171,771.5344172297297,716.5504025321682,671.3454443823365,759.3228202160494,773.2654622395834,709.3943309294872,813.2166780587834,742.25439453125,753.8675158450043
2021-05-05T22:13:30.000Z,10496,11510,11015,10496,10221,10599,9600,11576,11987,11648,11026,12672,11008,9856,11263,12800,177773,651.6451981707318,716.9478714161598,764.6492964139809,677.565644054878,768.8697779082281,775.0408529106519,623.0257291666667,706.147978576365,702.1675982314174,839.953125,622.4883910756394,681.5036300505051,818.8836300872093,756.1306818181819,692.0020420847021,760.8459375,722.3667115290824
