time,producer-service-1_throughput,total_throughput,producer-service-1_latency,average_latency
2021-05-05T19:10:44.000Z,33754,33754,105.50121467085383,105.50121467085383
2021-05-05T19:10:45.000Z,45494,45494,195.05446872115004,195.05446872115004
2021-05-05T19:10:46.000Z,52462,52462,203.66722580153254,203.66722580153254
2021-05-05T19:10:47.000Z,49156,49156,223.01957034746522,223.01957034746522
2021-05-05T19:10:48.000Z,52213,52213,207.32580008810066,207.32580008810066
2021-05-05T19:10:49.000Z,51450,51450,202.56172983479107,202.56172983479107
2021-05-05T19:10:50.000Z,50558,50558,216.1589659401084,216.1589659401084
2021-05-05T19:10:51.000Z,50217,50217,216.5668399147699,216.5668399147699
2021-05-05T19:10:52.000Z,51212,51212,221.1701163789737,221.1701163789737
2021-05-05T19:10:53.000Z,47594,47594,227.73694163129807,227.73694163129807
2021-05-05T19:10:54.000Z,50264,50264,227.60536367977082,227.60536367977082
2021-05-05T19:10:55.000Z,49785,49785,225.59102139198555,225.59102139198555
2021-05-05T19:10:56.000Z,48563,48563,225.0754277948232,225.0754277948232
2021-05-05T19:10:57.000Z,47627,47627,227.62458269469,227.62458269469
2021-05-05T19:10:58.000Z,47480,47480,228.29448188711035,228.29448188711035
2021-05-05T19:10:59.000Z,46454,46454,237.88993412838508,237.88993412838508
2021-05-05T19:11:00.000Z,49436,49436,226.0771704830488,226.0771704830488
2021-05-05T19:11:01.000Z,45677,45677,239.3330779166758,239.3330779166758
2021-05-05T19:11:02.000Z,47513,47513,238.61233767600447,238.61233767600447
2021-05-05T19:11:03.000Z,53132,53132,211.05636904313783,211.05636904313783
2021-05-05T19:11:04.000Z,49167,49167,222.63756177924216,222.63756177924216
2021-05-05T19:11:05.000Z,49128,49128,222.63389513108615,222.63389513108615
2021-05-05T19:11:06.000Z,52773,52773,210.8683228165918,210.8683228165918
2021-05-05T19:11:07.000Z,52655,52655,205.35732598993448,205.35732598993448
2021-05-05T19:11:08.000Z,48922,48922,222.3345734025592,222.3345734025592
2021-05-05T19:11:09.000Z,51361,51361,214.70683982009697,214.70683982009697
2021-05-05T19:11:10.000Z,52078,52078,214.69739621337226,214.69739621337226
2021-05-05T19:11:11.000Z,49583,49583,231.11604783897707,231.11604783897707
2021-05-05T19:11:12.000Z,48818,48818,227.86101437994182,227.86101437994182
2021-05-05T19:11:13.000Z,52783,52783,204.58391906485042,204.58391906485042
2021-05-05T19:11:14.000Z,48207,48207,220.54164332980687,220.54164332980687
2021-05-05T19:11:15.000Z,46071,46071,243.24444878557009,243.24444878557009
2021-05-05T19:11:16.000Z,45875,45875,246.33255585831063,246.33255585831063
2021-05-05T19:11:17.000Z,47125,47125,236.6561273209549,236.6561273209549
2021-05-05T19:11:18.000Z,44892,44892,248.46353470551546,248.46353470551546
2021-05-05T19:11:19.000Z,45810,45810,248.6537218947828,248.6537218947828
2021-05-05T19:11:20.000Z,43166,43166,256.45366723810406,256.45366723810406
2021-05-05T19:11:21.000Z,46211,46211,245.67592131743524,245.67592131743524
2021-05-05T19:11:22.000Z,45789,45789,242.95073052479853,242.95073052479853
2021-05-05T19:11:23.000Z,49232,49232,223.99561260968477,223.99561260968477
2021-05-05T19:11:24.000Z,47406,47406,232.95078682023373,232.95078682023373
2021-05-05T19:11:25.000Z,45877,45877,239.45990365542647,239.45990365542647
2021-05-05T19:11:26.000Z,45821,45821,250.85685602671265,250.85685602671265
2021-05-05T19:11:27.000Z,44257,44257,249.01995164606728,249.01995164606728
2021-05-05T19:11:28.000Z,49012,49012,238.61309475230556,238.61309475230556
2021-05-05T19:11:29.000Z,51039,51039,207.7734085699171,207.7734085699171
