time,producer-service-10_throughput,producer-service-11_throughput,producer-service-12_throughput,producer-service-1_throughput,producer-service-2_throughput,producer-service-3_throughput,producer-service-4_throughput,producer-service-5_throughput,producer-service-6_throughput,producer-service-7_throughput,producer-service-8_throughput,producer-service-9_throughput,total_throughput,producer-service-10_latency,producer-service-11_latency,producer-service-12_latency,producer-service-1_latency,producer-service-2_latency,producer-service-3_latency,producer-service-4_latency,producer-service-5_latency,producer-service-6_latency,producer-service-7_latency,producer-service-8_latency,producer-service-9_latency,average_latency
2021-05-05T21:52:53.000Z,,,,,,4282,,,,,,3981,8263,,,,,,198.72512844465203,,,,,,213.6641547349912,206.19464158982163
2021-05-05T21:52:54.000Z,6430,,,,,10120,4917,,,,,8992,30459,611.166096423017,,,,,731.5536561264822,659.2454748830588,,,,,795.1612544483986,699.2816204702392
2021-05-05T21:52:55.000Z,3213,1261,637,,,3237,2281,757,197,,,2660,14243,1422.780578898226,592.8556701030927,275.3767660910518,,,1515.6428792091442,1446.4335817623848,755.007926023778,370.1218274111675,,,1608.6496240601505,998.3586066948744
2021-05-05T21:52:56.000Z,5625,4648,3361,624,1,5661,5488,3393,3512,2612,,6330,41255,2179.983111111111,1349.2050344234078,740.3969056828325,399.63461538461536,242,2240.313018901254,2233.259110787172,1421.6357206012378,827.8374145785878,465.4816232771822,,2329.6413902053714,1311.7625404502521
2021-05-05T21:52:57.000Z,3112,3934,3656,4215,2825,4549,2930,3994,4185,5072,4057.0000000000005,3728,46257,3194.2294344473007,2102.02440264362,1506.7086980306347,976.1698695136417,720.3677876106194,2963.8393053418336,3144.7119453924915,2353.875062593891,1521.6088410991638,1132.7547318611987,430.32782844466357,3253.5930793991415,1941.6842488648501
2021-05-05T21:52:58.000Z,4679,4807,5441,5240,4748,4318,6023,3928,4945,3617,4709,5835,58290,4102.719598204744,2172.7491158726857,2004.0751700055137,1932.156679389313,1400.9896798652064,3493.977999073645,3947.386518346339,3160.157586558045,2105.5587462082913,1425.9187171689246,1068.928010193247,4098.208568980292,2576.0688658221866
2021-05-05T21:52:59.000Z,6150,5166,4969,4228,5540,5367,5079,5272,4505,4759,5635,6044,62714,4851.097398373984,1815.502516453736,2525.5584624672974,2779.3945127719962,2027.802166064982,3006.3771194335754,4781.4225241189215,4095.9152124430957,2686.1602663706994,1922.043496532885,1761.5370008873115,4767.477663798809,3085.024028309774
2021-05-05T21:53:00.000Z,3247,6423,6159,5610,5642,6077,4522,5421,3717,5942,4694,5456,62910,5561.9839852171235,1352.3527946442473,2718.2656275369377,3603.674331550802,2522.4445232187168,2451.1193022873126,5597.150597080938,5080.77384246449,3247.4317998385795,1648.1385055536857,2359.074137196421,4522.220124633431,3388.719130935224
2021-05-05T21:53:01.000Z,5178,6834,4882,5567,4707,5849,5459,5291,5085,5501,4385,5448,64186,5726.473348783314,1377.6542288557214,2729.324252355592,4511.685827195976,2374.7484597408115,2091.7785946315607,5504.883861513098,5186.369306369306,3755.4519174041297,1397.5479003817488,3165.513568985177,3849.9262114537446,3472.613123139181
2021-05-05T21:53:02.000Z,6427,5525,4895,4977,6849,8196,6450,5348,5810,5350,5121,5264,70212,4483.478139100669,1302.5352036199095,2846.226762002043,4845.1454691581275,2371.1661556431595,1872.4613225963885,4676.524341085272,4968.63406881077,3625.87504302926,1483.1084112149533,3885.5637570786957,3782.2158054711244,3345.2445399008643
2021-05-05T21:53:03.000Z,6198,4962,6037,5912,6273,6811,5103,5862,5116,5163,5636,6159,69232,4215.864311068087,1579.8875453446192,2788.863342719894,4667.77097428958,2203.2617567352145,1698.9282043752753,4386.498922202626,5247.782326850904,3544.8021892103206,1554.4015107495643,3868.320617459191,3776.6153596363047,3294.4164217201323
2021-05-05T21:53:04.000Z,3968,5821,4107,5383,5156,5681,3635,10559,6468,3662,4518,5779,64737,4141.0183971774195,1747.1776327091566,2679.583637691746,4709.536132268252,2136.2084949573314,1924.0249955993663,4575.793397524071,4459.3117719481015,3001.9305813234387,1709.5128345166577,3927.101372288623,3701.341062467555,3226.045025872643
2021-05-05T21:53:05.000Z,5779,6427,6398,6086,6119,6542,6200,5966,5338,5098,5068,3983,69004,3912.245371171483,1400.0253617550957,2738.6905282900907,4590.835524153796,2279.3672168655007,2016.8654845612962,4596.77935483871,3974.6027489104927,2982.3400149868867,1890.7359748921147,3781.944948697711,3838.0881245292494,3166.876721137702
2021-05-05T21:53:06.000Z,6292,5794,6544,5249,6501,5090,5489,3893,5416,4022.9999999999995,5379,5188,64858,4071.982994278449,1490.091473938557,2525.7027811735943,4669.5364831396455,2156.9429318566376,1997.3966601178781,4541.053926033886,4083.3382995119446,2834.6336779911376,1811.6820780512055,3704.300799405094,3709.5447185813414,3133.017235339947
2021-05-05T21:53:07.000Z,5171,6259,5566,6030,7143,5656,6693,5202,5586,6725,6963,6653,73647,4193.832527557533,1381.3872823134686,2370.298598634567,4585.692868988392,2010.1096178076439,2236.8587340876943,4568.223666517257,4313.883506343714,3133.81328320802,1617.3997026022305,3620.392503231366,3878.506388095596,3159.1998899489568
2021-05-05T21:53:08.000Z,5250,4599,5161,5009,5031,5493,5702,3681,6162,4696,5268,5363,61415,4122.834095238095,1506.105240269624,2636.172253439256,4700.855260531044,2177.75313059034,2302.934279992718,4326.983689933357,4473.585710404781,3021.2067510548522,1497.9927597955707,3356.5335990888384,3758.263285474548,3156.7683379844184
2021-05-05T21:53:09.000Z,6216,6179,5106,4942,5557,4209,6137,4529,4094.0000000000005,7748,3960,4413,63090,3956.0797940797943,1668.1909694125263,2814.2902467685076,4678.078510724403,2409.45384200108,2315.183416488477,4023.273912335017,5141.913005078383,3055.387151929653,1293.4199793495095,3323.059090909091,3645.7002039428958,3193.6691769182785
2021-05-05T21:53:10.000Z,7029,5978,6321,5265,5680,5609,4751,7163,5512,4817,5980,5664,69769,3741.6752027315406,1423.3056206088993,2669.7725043505775,4812.410066476733,2529.7628521126762,2414.6657158138705,4127.2649968427695,5444.384056959375,3081.824020319303,1166.908656840357,3506.726755852843,3771.313206214689,3224.1678045936355
2021-05-05T21:53:11.000Z,7310,4985,6557,5312,4652,6812,7276,6612,7090,4912,5950,7281,74749,3426.9558139534884,1555.9229689067201,2422.177062681104,4911.666227409639,2362.077601031814,2303.4734292425132,4126.09854315558,5266.590895341803,3082.6747531734836,1791.3947475570033,3685.2808403361346,3755.703749484961,3224.16805268952
2021-05-05T21:53:12.000Z,5080,7473,5123,5095,6487,6176,4366,7064,5569,4515,5087,6505,68540,3190.325787401575,1343.222802087515,2557.5143470622684,4914.047497546614,2297.182364729459,1866.4434909326426,4142.819743472286,4619.221970554926,2924.0569222481595,1934.4172757475083,3796.406133280912,3424.1898539584936,3084.1540157518634
2021-05-05T21:53:13.000Z,4461,4709,3729,5783,4785,6752,8223,4522,7928,6605,5142,4817,67456,3444.4465366509753,1382.5495858993418,2627.6768570662375,4911.917689780391,2375.2094043887146,1965.2976895734598,4063.440471847258,4403.08801415303,2616.470862764884,1511.6912944738833,3570.9393232205366,3344.3880008303922,3018.0929775540917
2021-05-05T21:53:14.000Z,3923,5154,4693,5895,5457,6325,5412,3961,6490,5995,6121,6118,65544,3966.936528167219,1773.7136204889407,3027.505433624547,4937.110262934691,2308.5653289353127,2074.5364426877472,3673.1335920177385,4692.12698813431,2495.493836671803,1295.0123436196832,3527.01503022382,3364.911899313501,3094.6717755682753
2021-05-05T21:53:15.000Z,3760,7289,5164,7446,5023,6975,6122,3829,5641,7097,6274,6505,71125,4254.648138297873,1452.0347098367404,3223.5017428350116,4477.451920494225,2537.2799124029466,1838.8554838709676,3769.137863443319,4934.9284408461735,2555.7333806062757,1272.1614766802875,3347.863563914568,3428.1535741737125,3090.9791839501745
2021-05-05T21:53:16.000Z,6044,7239,6764,4107,5920,6791,5156,5597,5985,6790,5105,4800,70298,4802.889973527465,1138.9504075148502,2932.2293021880546,4447.556610664718,2557.1195945945947,1873.1964364600205,3789.9972847168347,5259.627657673754,2751.4598162071848,1214.4346097201767,3342.5915768854065,3574.12,3140.3477725127555
2021-05-05T21:53:17.000Z,5678,5312,4621,6020,6350,7420,7582,6275,4114,4677,5543,4969,68561,4723.101620288834,1245.9359939759036,2542.115342999351,4497.503156146179,2297.1288188976378,1771.7332884097034,3988.150751780533,5442.164940239044,3026.200777831794,1497.1394056018814,3333.7564495760416,3623.0740591668346,3165.667050409478
2021-05-05T21:53:18.000Z,4860,3578,7006,6543,6289,5467,5154,5914,5964,6234,8006,6797,71812,4791.153086419753,1748.0673560648406,2455.7400799314873,4435.697539355036,2031.1321354746383,1902.498628132431,4029.2813348855257,5434.305884342239,3172.0845070422533,1601.0489252486366,3144.4061953534847,3590.17110489922,3194.6322314291297
2021-05-05T21:53:19.000Z,5579,5444,6788,5459,4752,5924,6670,5132,6045,6261,5783,5899,69736,4361.282667144649,1974.7773695811902,2521.071744254567,4447.028393478659,2292.1843434343436,2108.860904794058,3956.1145427286356,5455.356001558846,3244.367576509512,1266.1506149177449,3195.575998616635,3746.432446177318,3214.1002169330136
2021-05-05T21:53:20.000Z,5427,6439,4519,4009.0000000000005,5383,5915,4566,3033,3808,6194,3629,6675,59597,4034.263313064308,1597.585184034788,2292.788006196061,4718.015964080818,2485.989411109047,2050.7758241758243,4071.235435830048,5296.872403560831,3092.483193277311,1420.324991927672,3255.5343069716178,3439.3501123595506,3146.268178882323
2021-05-05T21:53:21.000Z,5420,5730,5792,4531,6096,5779,5121,4355,4352,4835,6736,5221,63968,4119.598339483395,1436.8347294938917,2631.4627071823206,4894.203045685279,2467.5756233595803,2001.672607717598,4125.246436242921,5372.64064293915,3495.530560661765,1385.0694932781798,3426.203681710214,3350.590308370044,3225.552348010362
2021-05-05T21:53:22.000Z,7507,5892,5511,3165,6821,7925,7036,3674,5612,4644,6562,7603,71952,3722.4553083788464,1497.7045145960624,2725.9310469969155,5090.9058451816745,2138.6116405219177,1956.1107886435332,4164.822200113701,5435.633641807294,3671.073948681397,1572.9181739879414,3423.2206644315756,3383.672497698277,3231.921689253262
2021-05-05T21:53:23.000Z,7049,5511,6165,5531,5561,6656,5659,4965,6279,5447,6566,3655,69044,3419.55795148248,1432.5757575757575,2597.886293592863,5392.1578376423795,2093.89156626506,1698.3617788461538,4278.846969429228,5892.5353474320245,3524.2489249880555,1691.7055259776023,3138.4450197989645,3472.4347469220247,3219.3873099960497
2021-05-05T21:53:24.000Z,6631,4789,5154,3884,5537,5077,6816,5958,6107,6419,7383,6072,69827,3274.102699442015,1618.7022342869075,2498.836825766395,5764.214727085478,2202.46396965866,1893.6462477841244,4029.7225645539907,5888.924303457536,2953.743736695595,1481.0525003894688,2912.4227278883923,3634.135540184453,3179.3306730994186
2021-05-05T21:53:25.000Z,5468,6642,6359,5893,5357,6087,5933,5941,7103,7514,4947,4570,71814,3250.109180687637,1576.2827461607949,2486.2374587199247,5794.068046835228,2417.392943811835,2249.9086577953017,3828.3826057643687,5730.5409863659315,2584.6737998029002,1293.0477774820336,2933.8716393774002,3774.3938730853392,3159.9091429907244
2021-05-05T21:53:26.000Z,5379,4830,5106,6166,5815,5104,5486,4882,5747,5871,5481,6141,66008,3506.2020821714073,1556.1668737060043,2592.2246376811595,5535.384852416478,2417.1721410146174,2317.76802507837,3880.818264673715,5404.476648914379,2600.0958761092743,1238.1849770056208,3211.8317825214376,3924.092330239375,3182.0348742943193
2021-05-05T21:53:27.000Z,5646,5517,4613,4307,5711,5623,6208,5152,4656,4655,5536,4572,62196,3743.4767977329084,1657.0813848105854,2765.8471710383697,5249.176224750407,2343.4134127123098,2304.293793348746,3977.104220360825,5158.884510869565,2816.4149484536083,1559.3179377013964,3439.9291907514453,4020.2279090113734,3252.9306251284615
2021-05-05T21:53:28.000Z,5600,7004,4792,6310,5931,5803,6344,6223,5721,5622,5504,6466,71320,3892.985892857143,1496.9426042261564,2926.3616444073455,4885.066085578447,2302.588433653684,2234.7244528692054,4072.5540668348044,4913.294391772457,3080.45813668939,1587.3740661686234,3506.0626816860463,3984.7265697494586,3240.2615855410636
2021-05-05T21:53:29.000Z,4329,7208,5496,5910,6294,4999,7008,5952,5319,6399,5623,5823,70360,4120.975744975745,1224.0024972253052,3039.6397379912664,4673.323688663282,2236.907689863362,2214.4212842568513,3830.0520833333335,5051.207157258064,3264.387666854672,1570.1451789342084,3561.2315489951984,3740.9998282672163,3210.607842218209
2021-05-05T21:53:30.000Z,6434,4650,5880,6470,5748,5326,6239,4722,5695,5563,5610,5505,67842,4137.451507615791,1422.1763440860216,2829.596088435374,4523.9703245749615,2152.7461725817675,2233.847540368006,3821.0759737137364,5093.276154171961,3158.95223880597,1333.2800647132842,3579.743315508021,3610.9751135331517,3158.0909031756705
2021-05-05T21:53:31.000Z,6195,4670,5581,5628,4299,5013,6858,6110,4960,4689,5013,6038,65054,3943.5665859564165,1737.6231263383297,2530.9392581974557,4583.582267235252,2452.7846010700164,2416.0867743865947,3720.3232720909887,4923.045990180033,3122.956451612903,1459.9769673704416,3522.385796927987,3528.956276912885,3161.852280689942
2021-05-05T21:53:32.000Z,4914,4244,7810,7174,6325,6315,8186.999999999999,4573,6869,4956,3250,5134,69751,4012.6613756613756,1680.3527332704996,2338.621895006402,4146.623780317815,2482.2113833992094,2368.1092636579574,3495.7110052522294,4846.814345068882,2938.9828213713786,1661.7830912025827,3668.1683076923077,3467.170627191274,3092.267552424326
2021-05-05T21:53:33.000Z,8109,4909,6203,6101,5127,7392,6035,6828,6734,6322,4898,5039,73697,3640.054384017758,1921.9559991851702,2223.079961309044,4049.923291263727,2409.004291008387,2031.062905844156,3486.5340513670258,4882.089191564148,2729.6245916245916,1601.1956659285036,3944.4514087382604,3779.7156181782098,3058.2242800024155
2021-05-05T21:53:34.000Z,7427,4215,6469,6607,4027,5273,3905,7134,5567,4005,6059,5887,66575,3401.9171940218125,2038.602609727165,2231.1694234039264,4084.032995308007,2486.7323069282343,1876.9442442632278,3702.3531370038413,4557.777544154752,2667.238548589905,1546.7465667915105,4039.0169995048686,3889.3324273823678,3043.4886664233018
2021-05-05T21:53:35.000Z,6937,5688,6072,6367,6621,7582,5467,6219,6513,6110,6392,4903,74871,3129.958915957907,1763.2315400843881,2420.789855072464,4174.065808072875,2675.0010572421083,1859.5974676866263,4106.321199926833,4535.161119150989,2850.6476278212804,1694.0268412438625,4031.4386733416773,3969.398123597797,3100.803185766568
2021-05-05T21:53:36.000Z,5735,6203,3857,6033,8301,5869,5869,7065,5670,5104,5744,5816,71266,3161.523975588492,1411.9406738674834,2560.599170339642,4135.222277473894,2071.440428863992,1921.8953825183166,4245.282330891123,4399.894267515923,2854.1813051146382,1563.0799373040752,3561.287778551532,4006.3820495185696,2991.0607981289736
2021-05-05T21:53:37.000Z,6193,5687,4993,6064,5798,5575,7446,5889,5737,6018,5587,5673,70660,3378.69707734539,1443.321786530684,2846.713599038654,4288.9210092348285,1780.6771300448431,2243.9094170403587,4397.137254901961,4153.600441501104,2779.587066411016,1505.1841143236957,3226.546626096295,3859.4551383747576,2991.9792217369654
2021-05-05T21:53:38.000Z,6398,5740,6945,5926,5042,5451,4915,6444,4944,5508,5027,4944,67284,3589.523288527665,1506.3531358885018,2801.8064794816414,4239.938575767803,2057.5872669575565,2192.3810310034855,4206.935503560529,4109.160148975791,2930.6937702265373,1368.2331154684096,3358.7696439228166,3794.222491909385,3012.9670376408435
