time,producer-service-10_throughput,producer-service-11_throughput,producer-service-12_throughput,producer-service-13_throughput,producer-service-14_throughput,producer-service-15_throughput,producer-service-16_throughput,producer-service-1_throughput,producer-service-2_throughput,producer-service-3_throughput,producer-service-4_throughput,producer-service-5_throughput,producer-service-6_throughput,producer-service-7_throughput,producer-service-8_throughput,producer-service-9_throughput,total_throughput,producer-service-10_latency,producer-service-11_latency,producer-service-12_latency,producer-service-13_latency,producer-service-14_latency,producer-service-15_latency,producer-service-16_latency,producer-service-1_latency,producer-service-2_latency,producer-service-3_latency,producer-service-4_latency,producer-service-5_latency,producer-service-6_latency,producer-service-7_latency,producer-service-8_latency,producer-service-9_latency,average_latency
2021-05-05T23:02:34.000Z,6909,,,,,,8016.999999999999,,,,,7231,,,,,22157,352.34910985670865,,,,,,316.2373705875016,,,,,267.75784815378233,,,,,312.11477619933083
2021-05-05T23:02:35.000Z,5963,5400,149,,,,5960,3730,,,,7294,6459,342,,,35297,814.8138520878753,375.60407407407405,344.06711409395973,,,,765.9808724832214,237.66970509383378,,,,461.5361941321634,324.6869484440316,342.57894736842104,,,458.3672134721976
2021-05-05T23:02:36.000Z,2969,2801,2780,,,,2552,3850,2820,,,2886,3167,3230,213,,27268,1936.7969013135737,1247.8097108175652,796.5640287769784,,,,1697.7719435736676,832.02,560.3854609929078,,,1351.5148995148995,1177.0334701610357,706.7238390092879,351.6619718309859,,1065.8282225990902
2021-05-05T23:02:37.000Z,2551,3813,1243,1505,,,2255,2433,3918,1287,,2172,2311,2139,4212,,29839,2892.989807918463,2183.944925255704,1713.0667739340306,717.5249169435216,,,2733.7942350332596,1571.2803123715578,1267.6681980602348,496.8158508158508,,2264.9097605893185,1980.7343141497188,1647.670874240299,790.863722697056,,1688.4386410007517
2021-05-05T23:02:38.000Z,1909,1807,1865,2410,2076,1622,2501,2543,2802,2701,1614,2232,2718,2361,2331,873,34365,3817.13933996857,3124.0741560597676,2807.1753351206435,1536.425726141079,923.9388246628131,919.1868064118372,3676.0695721711318,2331.7377113645302,2284.973590292648,1387.8063680118476,935.2942998760842,3258.5465949820787,2856.214863870493,2666.2613299449386,1811.4234234234234,487.2497136311569,2176.469853495815
2021-05-05T23:02:39.000Z,3054,3212,4128,3325,3744,2775,4303,3217,4051.9999999999995,3745,4126,4306,3065,4018,4083.9999999999995,3312,58466,4662.377865094957,3777.455790784558,3616.422722868217,2369.9948872180453,1459.1055021367522,1465.1113513513515,3986.0841273530095,3018.288156667703,3078.5115992102665,2004.9564753004006,1416.8284052350946,4100.799349744542,3117.3353996737355,3458.8618715778994,2546.8396180215477,965.7161835748792,2815.29308161331
2021-05-05T23:02:40.000Z,4671,3934,3561,4599,3946,4189,3186,4266,4051,3809,4592,2048,4444,3347,3523,3102,61268,5524.325840291158,3953.0932892730048,4334.689132266218,3308.1687323331157,2333.256715661429,2434.9128670327045,4125.961079723792,3299.5363338021566,4101.478153542335,2762.0021002887897,2032.744555749129,4603.38623046875,3005.7693519351933,4432.263818344786,3531.6633550950896,1796.6802063185041,3473.7457351328844
2021-05-05T23:02:41.000Z,3966,4116,3436,4231,3277,3854,3950,3844,4244,4232,3858,3842,4312,3903,4734,4171,63970,6131.516641452345,3964.28231292517,5069.692374854482,4283.591585913496,3229.344827586207,3448.3297872340427,3709.0430379746836,2821.0291363163374,4933.443920829406,3246.3638941398867,2719.0287713841367,4644.953669963561,2507.2750463821894,5407.421983089931,4486.529784537389,2649.568209062575,3953.2134364778644
2021-05-05T23:02:42.000Z,1984,5062,3695,4561,4225,4662,3236,4721,3610,3755,4612,4433,3388,4102,3335,4331,63712,6653.180947580645,3248.5578822599764,6015.234370771313,5059.633413725061,4088.395976331361,4262.616688116688,3489.3906056860324,2352.3950434230037,5537.550138504155,3108.8356857523304,2734.4373373807457,4073.2517482517483,2394.966646989374,6304.599463676255,5249.641979010495,3225.6538905564535,4237.396363625978
2021-05-05T23:02:43.000Z,3238,3787,4118,3337,3276,3800,3698,2963,4705,3368,3029,3316,2886,4005,3979,4273,57778,6574.21772699197,2884.187219434909,6625.553423992229,6028.924782738987,4933.292735042735,4605.460526315789,3671.514061654949,2337.1484981437734,5764.939001062699,3119.083432304038,2677.955430835259,3760.373642943305,2509.052668052668,6593.758302122347,5356.32746921337,3070.122162415165,4406.994442704012
