time,producer-service-1_throughput,producer-service-2_throughput,total_throughput,producer-service-1_latency,producer-service-2_latency,average_latency
2021-05-05T19:51:09.000Z,4351,,4351,51.674097908526775,,51.674097908526775
2021-05-05T19:51:10.000Z,29523,17044,46567,238.69813365850354,186.91257920675898,212.80535643263124
2021-05-05T19:51:11.000Z,32586,30310,62896,548.7652366046768,354.5340811613329,451.64965888300486
2021-05-05T19:51:12.000Z,32787,33406,66193,542.1186140848507,380.0001496737113,461.059381879281
2021-05-05T19:51:13.000Z,30270,32447.000000000004,62717,562.3059134456557,392.8844577310691,477.5951855883624
2021-05-05T19:51:14.000Z,33138,31907,65045,566.5685315951475,377.23079575014884,471.8996636726482
2021-05-05T19:51:15.000Z,34963,28871,63834,560.0744787346623,410.00076201032175,485.03762037249203
2021-05-05T19:51:16.000Z,37250,22244,59494,508.31589261744966,487.87632620032366,498.09610940888666
2021-05-05T19:51:17.000Z,28379,28269,56648,514.9736777194404,511.6323534613888,513.3030155904146
2021-05-05T19:51:18.000Z,29921,29602,59523,621.1154038969286,417.6498209580434,519.382612427486
2021-05-05T19:51:19.000Z,30256,25376,55632,595.6144566367002,501.27143757881464,548.4429471077574
2021-05-05T19:51:20.000Z,29226,28031,57257,633.0217272291795,412.60440226891654,522.8130647490481
2021-05-05T19:51:21.000Z,29727,29404,59131,586.6433881656407,476.17497619371517,531.4091821796779
2021-05-05T19:51:22.000Z,30828,28927,59755,595.1993642143506,425.82625229024785,510.51280825229924
2021-05-05T19:51:23.000Z,29073,32695,61768,591.6690743989268,391.86031503287967,491.76469471590326
2021-05-05T19:51:24.000Z,33962,31295,65257,560.4735881279076,394.74363316823775,477.6086106480727
2021-05-05T19:51:25.000Z,34156,26338,60494,527.1519791544678,410.1952312248462,468.673605189657
2021-05-05T19:51:26.000Z,32575.000000000004,29043,61618,519.125771297007,475.97152498020176,497.54864813860434
2021-05-05T19:51:27.000Z,30172,37913,68085,589.3554951610765,336.8683565004088,463.1119258307427
2021-05-05T19:51:28.000Z,31199,27494,58693,561.5723260360909,423.609078344366,492.59070219022846
2021-05-05T19:51:29.000Z,28411,33650,62061,632.6823765442962,377.8487667161961,505.26557163024614
2021-05-05T19:51:30.000Z,35854,34400,70254,518.9873933173426,378.3536627906977,448.6705280540201
2021-05-05T19:51:31.000Z,31466,31545,63011,529.4385050530732,387.0888888888889,458.2636969709811
2021-05-05T19:51:32.000Z,32237.000000000004,30458,62695,545.2298600986444,392.21944973406,468.72465491635216
2021-05-05T19:51:33.000Z,23333,38650,61983,686.3558050829298,331.11542043984474,508.7356127613873
2021-05-05T19:51:34.000Z,26779,32210,58989,718.3843683483326,376.732629618131,547.5584989832319
2021-05-05T19:51:35.000Z,26655,31294,57949,683.0079159632339,391.94791333802004,537.477914650627
2021-05-05T19:51:36.000Z,28510,33478,61988,648.5578744300245,376.4283708704224,512.4931226502234
2021-05-05T19:51:37.000Z,29792,30480,60272,609.8163600966702,410.42949475065615,510.1229274236632
2021-05-05T19:51:38.000Z,33791,29415,63206,568.4931194696812,410.75828658847524,489.62570302907824
2021-05-05T19:51:39.000Z,32533,26201,58734,489.4396151599914,467.6539826724171,478.54679891620424
