time,producer-service-1_throughput,producer-service-2_throughput,producer-service-3_throughput,producer-service-4_throughput,total_throughput,producer-service-1_latency,producer-service-2_latency,producer-service-3_latency,producer-service-4_latency,average_latency
2021-05-05T20:31:38.000Z,28218,10463,627,,39308,148.57101849883054,182.30440600210264,237.7974481658692,,189.55762422226746
2021-05-05T20:31:39.000Z,11808,12003,11650,8138.999999999999,43600,850.2203590785908,637.061984503874,521.4519313304721,262.2820985379039,567.7540933627103
2021-05-05T20:31:40.000Z,14439,14199,14035,11370,54043,1460.895560634393,1421.8008310444397,1244.2181688635553,767.4970096745823,1223.6028925542425
2021-05-05T20:31:41.000Z,13294,16385,17537,15675,62891,1376.418158567775,1316.582056759231,1316.1637110110053,1381.2239872408293,1347.59697839471
2021-05-05T20:31:42.000Z,15855,14338,13638,17586,61417,1377.8686849574267,1259.7418747384572,1210.4948672825928,1210.302968270215,1264.6020988121732
2021-05-05T20:31:43.000Z,18841,15459,17936,15888,68124,1110.528422058277,1323.5359984475062,1336.8651315789473,1126.2452165156092,1224.293692150085
2021-05-05T20:31:44.000Z,18936,15296,15739,16950,66921,1089.6941275876636,1311.1638336820083,1044.4756337759704,1240.1965191740412,1171.382528554921
2021-05-05T20:31:45.000Z,15190,13501,18407,17838,64936,1102.9947333772218,1377.6961706540255,1276.2113326451893,1083.886534364839,1210.197192760319
2021-05-05T20:31:46.000Z,17687,15680,14840,12281,60488,1094.016961610222,1365.783163265306,1196.9388140161725,1257.109355915642,1228.4620737018358
2021-05-05T20:31:47.000Z,15835,15121,13170,13640,57766,1225.1151247237133,1171.6915547913497,1362.5573272589218,1514.3269794721407,1318.4227465615313
2021-05-05T20:31:48.000Z,16980,17490,20538,16506,71514,1169.8279151943464,1279.7568324757003,1279.4546693933196,1290.5391372834122,1254.8946385866946
2021-05-05T20:31:49.000Z,15254,17933,17574,18896,69657,1341.2722564573228,1092.9305749177495,979.538522817799,1054.4629551227772,1117.0510773289122
2021-05-05T20:31:50.000Z,14050,15720,15751,17404,62925,1153.0313167259787,1074.6669847328244,1267.282775696781,1155.1006090553897,1162.5204215527433
2021-05-05T20:31:51.000Z,17044,17557,15681,16443,66725,1230.555092701244,1158.8489491370963,1344.3451310503156,1087.2225263029861,1205.2429247979105
2021-05-05T20:31:52.000Z,14948,14475,13455,14796,57674,1268.4271474444743,1186.2532642487047,1336.2700854700854,1319.8179237631794,1277.6921052316109
2021-05-05T20:31:53.000Z,16481,14537,17686,19614,68318,1228.0121958619015,1344.120038522391,1343.0227298428135,1072.9423880901397,1247.0243380793115
2021-05-05T20:31:54.000Z,14566,14909,16985,15195,61655,1258.2733763558972,1400.7113153128983,1125.6498086546953,1178.7664363277395,1240.8502341628077
2021-05-05T20:31:55.000Z,15572,14467,14808,16180,61027,1279.514705882353,1234.8970761042372,1206.003511615343,1208.5569839307786,1232.243069383178
2021-05-05T20:31:56.000Z,18190,18887,13400,13670,64147,1151.3770753161077,1187.1441732408534,1437.5041791044775,1280.7583028529627,1264.1959326286003
2021-05-05T20:31:57.000Z,13263,18272,19612,18599,69746,1260.5828243987032,1058.9786011383537,1344.683357128289,1158.894349158557,1205.7847829559757
2021-05-05T20:31:58.000Z,14697,16724,18174,15257,64852,1398.7763489147444,1127.0402415690025,1021.9358974358975,1217.5891066395752,1191.335398639805
2021-05-05T20:31:59.000Z,16746,16018,16232,17312,66308,1203.04574226681,1198.4502434760893,1267.7550517496304,1217.9789163585951,1221.8074884627813
2021-05-05T20:32:00.000Z,21401,14404,17063,15102,67970,1055.8740245782908,1267.2321577339628,1135.450389732169,1164.2869818567078,1155.7108884752827
2021-05-05T20:32:01.000Z,14921,12029,17974,16778,61702,1018.3501105824006,1399.0968492809045,1187.7855791699121,1215.288830611515,1205.130342411183
2021-05-05T20:32:02.000Z,14283,17794,17723,14440,64240,1336.9317370300357,1368.7844217151849,1123.7187835016646,1299.563296398892,1282.2495596614442
2021-05-05T20:32:03.000Z,16675,21668,16841,14161,69345,1204.504647676162,974.6103932065719,1147.0043940383587,1294.3577430972389,1155.119294504583
2021-05-05T20:32:04.000Z,18255,18178,18492,13972,68897,1093.843111476308,957.1603586753218,1196.6658014276443,1343.9559118236473,1147.9062958507304
2021-05-05T20:32:05.000Z,15632,17718,19307,16533,69190,1171.9945624360287,1094.820465063777,1055.625990573367,1327.0384685175104,1162.3698716476708
2021-05-05T20:32:06.000Z,14684,14407,13675,19178,61944,1306.026491419232,1151.8390365794405,1172.5627787934186,1115.6450099071853,1186.518329174819
2021-05-05T20:32:07.000Z,16253,17862,14305,16757,65177,1238.8427982526302,1225.0451237263464,1395.9728766165676,1050.021006146685,1227.4704511855575
2021-05-05T20:32:08.000Z,16364.999999999998,15631,20546,17760,70302,1140.8937977390774,1094.2042735589534,1210.4055290567508,1112.1965653153154,1139.4250414175242
2021-05-05T20:32:09.000Z,16392,20319,16079,18684,71474,1234.7335895558808,1142.0745607559427,1111.9777349337646,1123.0887925497752,1152.968669448841
2021-05-05T20:32:10.000Z,16241,19972,19364,18486,74063,1164.6293331691397,982.0378529941919,1165.4086965502995,985.6898193227307,1074.4414255090905
2021-05-05T20:32:11.000Z,15485,17099,16253,20972,69809,1269.9765579593154,1024.0567869466051,1081.152218052052,970.5462998283425,1086.4329656965788
2021-05-05T20:32:12.000Z,20803,20387,15349,18017,74556,1087.2942364082103,979.3469858242998,1247.7270831976025,967.4737747682744,1070.4605200495969
2021-05-05T20:32:13.000Z,15147,19797,20305,13548,68797,1062.2327193503663,987.2910036874274,1196.2108840187145,1265.2013581340418,1127.7339912976374
2021-05-05T20:32:14.000Z,12496,14762,15608,17904,60770,1298.8541933418694,1099.480693672944,1158.7738339313173,1190.3146782841823,1186.8558498075781
2021-05-05T20:32:15.000Z,17181,15884,14991,20108,68164,1387.9664745940283,1333.689498866784,1246.5547995463944,1029.2907300576885,1249.375375766224
